Date,Asset,Daily Return,Exposure BoP,Exposure EoP,Trade Exposure,Trade Cost,PnL - Daily,PnL,Days in Exposure,Strategy Vol.,stop_trading_sign,Strategy,Strategy Weight,Book Vol,all_strategies_ready,Cumulative_ReturnLibor
2016-11-09,Swap - GDX US Equity,1.0262720615835164,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091231891895542
2016-11-09,Swap - PDBC US Equity,1.0069605168710292,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091231891895542
2016-11-10,Swap - UCO US Equity,0.9564034844026028,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091480171253644
2016-11-10,Swap - SCO US Equity,1.0472761073820633,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091480171253644
2016-11-10,Swap - KOLD US Equity,1.0145261492158615,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091480171253644
2016-11-10,Swap - ZSL US Equity,0.9843922261551297,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091480171253644
2016-11-10,Swap - GLL US Equity,1.029465288199876,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091480171253644
2016-11-10,Swap - GLD US Equity,0.9850859970920963,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091480171253644
2016-11-10,Swap - GDX US Equity,0.9251478239451131,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091480171253644
2016-11-10,Swap - PDBC US Equity,0.9895710288377952,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091480171253644
2016-11-11,Swap - UCO US Equity,0.9453069456334907,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091729445892965
2016-11-11,Swap - SCO US Equity,1.0551641913383247,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091729445892965
2016-11-11,Swap - KOLD US Equity,0.9860891308855769,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091729445892965
2016-11-11,Swap - ZSL US Equity,1.1297506384357467,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091729445892965
2016-11-11,Swap - GLL US Equity,1.0450262696229546,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091729445892965
2016-11-11,Swap - GLD US Equity,0.9778464094068715,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091729445892965
2016-11-11,Swap - GDX US Equity,0.9195397849649493,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091729445892965
2016-11-11,Swap - PDBC US Equity,0.9807000743081841,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091729445892965
2016-11-14,Swap - UCO US Equity,1.019251777801144,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.009198024740871
2016-11-14,Swap - SCO US Equity,0.9802596306436034,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.009198024740871
2016-11-14,Swap - KOLD US Equity,0.9444980250809724,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.009198024740871
2016-11-14,Swap - ZSL US Equity,1.0541801401761581,0,0.014544571093973386,0.014544571093973386,3.6361427734933466e-06,-3.6361427734933466e-06,-3.6361427734933466e-06,1,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.009198024740871
2016-11-14,Swap - GLL US Equity,1.0145524088831295,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.009198024740871
2016-11-14,Swap - GLD US Equity,0.9915210459832821,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.009198024740871
2016-11-14,Swap - GDX US Equity,1.0095341652762981,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.009198024740871
